,Year,Cardiovascular_diseases,Cancers,Kidney_disease,Digestive_diseases,Respiratory_diseases,Lower_respiratory_infections,Diabetes,Liver_disease,Drug_disorders,Suicide,Dementia
0,1990,892127.0,516073.0,33081.0,39040.0,101555.0,67896.12954577728,107889.0,35635.0,6200.0,34561.0,116355.0
1,1991,889858.0,523508.0,33731.0,39452.0,104810.0,69158.28639713285,111065.0,35607.0,6610.0,34745.0,120394.0
2,1992,890944.0,531279.0,34731.0,39923.0,108288.0,69914.06595848755,114781.0,35698.0,7150.0,34920.0,124464.0
3,1993,903699.0,541470.0,36089.0,40503.0,113516.0,73047.43141618629,119874.0,36098.0,7832.0,35331.0,128935.0
4,1994,909279.0,549743.0,37211.0,40993.0,117741.0,74347.88039242249,124391.0,36391.0,8486.0,35521.0,132828.0
5,1995,917140.0,557466.0,38600.0,41427.0,122221.0,76131.74801211298,129079.0,36691.0,9188.0,35550.0,136999.0
6,1996,912281.0,557712.0,39681.0,41730.0,125277.0,77200.76768684936,132938.0,36695.0,9983.0,35412.0,141359.0
7,1997,903921.0,556477.0,40858.0,42094.0,128213.0,78363.41135617792,136423.0,36741.0,10896.0,35327.0,145726.0
8,1998,908639.0,561447.0,42847.0,42626.0,133438.0,79710.58904033198,141931.0,37363.0,11950.0,35288.0,150585.0
9,1999,916542.0,567600.0,45480.0,43167.0,140230.0,79322.755265108,147389.0,38607.0,13368.0,35205.0,155447.0
10,2000,912623.0,571317.0,47605.0,43558.0,143971.0,79873.18172317455,151390.0,39618.0,14768.0,35667.0,159862.0
11,2001,904090.0,574868.0,49847.0,44008.0,146742.0,80134.19710403039,156049.0,40896.0,16441.0,36412.0,163728.0
12,2002,897740.0,579320.0,52127.0,44386.0,149689.0,81069.24893475909,160605.0,42223.0,18445.0,37159.0,167755.0
13,2003,884199.0,581872.0,54153.0,44606.0,151930.0,81164.42546844519,164008.0,43529.0,20355.0,37756.0,171546.0
14,2004,864185.0,583341.0,55873.0,44644.0,153166.0,79576.69099942548,166110.0,44736.0,22207.0,38347.0,175343.0
15,2005,850684.0,585665.0,57909.0,44840.0,155871.0,80755.38292682599,168766.0,46581.0,24152.0,39024.0,180002.0
16,2006,834209.0,585955.0,59739.0,45072.0,156673.0,80466.13447998524,170142.0,48115.0,26068.0,39736.0,184383.0
17,2007,822721.0,589233.0,61818.0,45327.0,158991.0,80095.52780557411,172148.0,49780.0,27508.0,40389.0,189049.0
18,2008,815820.0,594672.0,63959.0,45669.0,162617.0,81095.33782829548,174139.0,51617.0,28729.0,41005.0,193603.0
19,2009,805333.0,599545.0,65806.0,45914.0,164133.0,81044.57923220049,175751.0,53356.0,29872.0,41644.0,198019.0
20,2010,805371.0,606408.0,68467.0,46414.0,166989.0,80847.02705682383,179209.0,55086.0,30997.0,42331.0,203695.0
21,2011,812113.0,615080.0,71802.0,47026.0,170807.0,82789.76206447001,181787.0,56635.0,32240.0,43101.0,210127.0
22,2012,821498.0,625893.0,74480.0,47648.0,174647.0,83685.56010532254,184890.0,58206.0,33146.0,43875.0,216488.0
23,2013,836340.0,638630.0,77677.0,48592.0,179527.0,85776.75310364843,189068.0,59799.0,34061.0,44665.0,222611.0
24,2014,854186.0,651188.0,80093.0,49534.0,183193.0,87280.37079465567,193492.0,61101.0,34763.0,45562.0,228003.0
25,2015,879214.0,668687.0,80871.0,50858.0,186603.0,89325.54630531641,197905.0,61719.0,34089.0,46291.0,233398.0
26,2016,901411.0,685162.0,82539.0,52078.0,190691.0,91658.3535330017,202935.0,62644.0,33710.0,46606.0,238895.0
