,Year,Cardiovascular_diseases,Cancers,Kidney_disease,Digestive_diseases,Respiratory_diseases,Lower_respiratory_infections,Diabetes,Liver_disease,Drug_disorders,Suicide,Dementia
0,1990,40.890312830848494,24.40028351438097,1.4242065235717785,3.504285451938816,4.610784860898005,3.1725673392034444,5.00398187391,1.6732659816878401,0.2787395164847873,1.5959597197885702,5.852921607717499
1,1991,40.35502257784957,24.552591941408238,1.4414790669094932,3.478643964543156,4.742660669774676,3.1937915523623817,5.10120572346,1.64997932597934,0.2963866752246879,1.5890826361237942,5.994915082288265
2,1992,39.88631534054153,24.65404048402606,1.4653303256041137,3.4667547963863963,4.863606159763966,3.212322748991001,5.2128186641,1.6333425346487531,0.31949859752322235,1.5767824336896128,6.1562083526313875
3,1993,39.6363909553159,24.54941061070361,1.4933957710390644,3.3998321900075954,5.0035655993193515,3.24345585570152,5.32872377263,1.5958655847927852,0.3491116537910809,1.5699606828939698,6.2532070701239215
4,1994,39.27245251558746,24.498925080272326,1.5166128514138553,3.3762503389826746,5.115377196948104,3.2597460927003152,5.44677812469,1.5766969941721802,0.37481409511391744,1.5588096206364472,6.385328128823367
5,1995,39.07227837036925,24.471803720963567,1.5522716373742216,3.3453858683261424,5.243837120317871,3.2827785110459358,5.573813374069999,1.5576494840443744,0.4015339993148916,1.5427988601919465,6.501544037864642
6,1996,39.015595411602796,24.522368272244574,1.6093807557978919,3.3604361540330805,5.381126511869873,3.3343401595273217,5.749441067129999,1.5567589009754914,0.4300823133508311,1.5238405063715017,6.649829643858028
7,1997,38.95074563891645,24.562906942863542,1.6765150082095206,3.3882672688828173,5.541609393719275,3.3895005283571185,5.929165203130001,1.5608461435844239,0.4635808580098281,1.510122219413551,6.759231002731644
8,1998,38.72543757223671,24.483864414283772,1.7440489533765398,3.394086835649829,5.7046856313818335,3.419808885566214,6.0951772477800015,1.5571613511954931,0.4939824791984142,1.481694728611885,6.8440598347799435
9,1999,38.44544576953231,24.339023648072732,1.8287630048514616,3.3849474448285286,5.8909254177854455,3.3380687202669512,6.224041753709999,1.5472178660309792,0.539601557035019,1.4431471104690632,6.925044250826591
10,2000,38.02061699510942,24.294364931641113,1.9065970097428293,3.4149279808226107,6.003125661917345,3.332061204648154,6.347611651269999,1.5671812418118984,0.5896676826970845,1.4482996759599087,7.015620509632178
11,2001,37.475811927564294,24.232443095128346,1.9958514492067008,3.4352956804082604,6.07954300461894,3.308469645993803,6.49709535142,1.5901775975653043,0.6498124804418052,1.4738341364209675,7.088720519890701
12,2002,36.939355956818794,24.254343864813638,2.083401509505772,3.4720586182501316,6.158041437271513,3.3208092670877147,6.6443744727,1.6287506925420847,0.7237861510804149,1.5084150233042224,7.18920651037075
13,2003,36.303499035606265,24.27427214662799,2.171972809158239,3.5230130709138336,6.243751565273068,3.3131939164473434,6.770688701129999,1.6770662829176055,0.7887643711370032,1.5306618497103868,7.314528764579923
14,2004,35.53485381570106,24.39493978928113,2.2553865474780537,3.608927696962037,6.3186273561952655,3.2937633170860643,6.8768776977899995,1.7434958960487374,0.8493935491996625,1.554557926982038,7.525008833419004
15,2005,34.92905654731883,24.309007589939924,2.34996865154721,3.6672308760452457,6.428271833152735,3.2895637716164736,6.96387651512,1.8117842680605625,0.9196760237444294,1.5836512963332323,7.659349764056732
16,2006,34.333638489272204,24.36842788819792,2.4381590914095352,3.7645345697333745,6.490044510080897,3.2794328900626404,7.03675926605,1.8925981495619368,0.9911774298316872,1.6211428119873177,7.860735606611503
17,2007,33.756821812775605,24.45093691945273,2.522835672132609,3.8478081765125056,6.5830051580418845,3.2686154108640597,7.101795734389999,1.9677404860652583,1.0489235588340604,1.6492640248440835,8.070029746433704
18,2008,33.320217907635765,24.509724865724927,2.6207335551394597,3.902523085830376,6.713086872828288,3.2793821061486916,7.14827535372,2.0277345818092534,1.1126684894146848,1.6689378937202664,8.264019867410498
19,2009,32.84682180620194,24.633773755488967,2.7181052266523382,3.964290643501297,6.775803967190812,3.2675919421075235,7.2036247841000005,2.0921298079609274,1.2056862757234208,1.6969670723291796,8.452804395860761
20,2010,32.468773285902316,24.606906837211252,2.8279874358537174,4.021995166178709,6.824338346411665,3.2580542256388725,7.27475282354,2.1469771973657337,1.3087177149827764,1.7037861913954604,8.724889002437287
21,2011,32.26168982189161,24.456978080521477,2.914576319048558,4.039355451200858,6.913790539870825,3.2679542304856617,7.271911397190001,2.182610659544538,1.4180499202679615,1.7160294555366555,8.879552317746768
22,2012,32.04666857884611,24.397647355461906,2.9701211829223797,4.071858994611652,6.9458438954669015,3.266116739818536,7.27624632346,2.2229376835734724,1.5375228804452157,1.7216780782190657,9.042923685766533
23,2013,31.861536483130394,24.309374201031893,3.0315005453982997,4.087451178694741,6.990379844413794,3.291844142931008,7.290662844580001,2.2463823019681,1.6815948858635492,1.7168696482573302,9.149747701535373
24,2014,31.689579378513866,24.26805526521239,3.0617490478189877,4.097658441417644,6.985270531150882,3.291316284898725,7.31080442387,2.2638582432673453,1.8601717571665817,1.7226045425303531,9.203097236962279
25,2015,31.58087265800145,24.178081526469306,3.0665849402276053,4.0736572530724855,6.984905065306473,3.2906943593964733,7.299709594389999,2.252433701482344,2.068750240486973,1.7328379280542168,9.207850248609962
26,2016,31.51966252960363,24.34761467767393,2.9947531320249583,4.027296467144239,6.897581336234162,3.280862298091942,7.319900334180001,2.212853097493121,2.3130135274914068,1.7349961414752078,9.09920525116316
